Green-breasted Mango,Anthracothorax prevostii
Rivoli's Hummingbird,Eugenes fulgens
Plain-capped Starthroat,Heliomaster constantii
Amethyst-throated Mountain-gem,Lampornis amethystinus
Blue-throated Mountain-gem,Lampornis clemenciae
Lucifer Hummingbird,Calothorax lucifer
Ruby-throated Hummingbird,Archilochus colubris
Black-chinned Hummingbird,Archilochus alexandri
Bahama Woodstar,Nesophlox evelynae
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Calliope Hummingbird,Selasphorus calliope
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Broad-tailed Hummingbird,Selasphorus platycercus
Bumblebee Hummingbird,Selasphorus heloisa
Broad-billed Hummingbird,Cynanthus latirostris
White-eared Hummingbird,Basilinna leucotis
Xantus's Hummingbird,Basilinna xantusii
Violet-crowned Hummingbird,Ramosomyia violiceps
Berylline Hummingbird,Saucerottia beryllina
Cinnamon Hummingbird,Amazilia rutila
Buff-bellied Hummingbird,Amazilia yucatanensis
Spotted Rail,Pardirallus maculatus
Paint-billed Crake,Mustelirallus erythrops
Rufous-necked Wood-Rail,Aramides axillaris
Ridgway's Rail,Rallus obsoletus
King Rail,Rallus elegans
Clapper Rail,Rallus crepitans
Virginia Rail,Rallus limicola
Corn Crake,Crex crex
Sora,Porzana carolina
Common Gallinule,Gallinula galeata
Eurasian (Common) Moorhen,Gallinula chloropus
Eurasian Coot,Fulica atra
Hawaiian Coot,Fulica alai
American Coot,Fulica americana
Purple Gallinule,Porphyrio martinica (martinicus)
Gray-headed (Purple) Swamphen,Porphyrio poliocephalus (porphyrio)
Yellow Rail,Coturnicops noveboracensis
Black Rail,Laterallus jamaicensis
Laysan Rail,Zapornia palmeri
Hawaiian Rail,Zapornia sandwichensis
Sungrebe,Heliornis fulica
Limpkin,Aramus guarauna
Sandhill Crane,Antigone canadensis
Common Crane,Grus grus
Hooded Crane,Grus monacha
Whooping Crane,Grus americana
Double-striped Thick-knee,Hesperoburhinus bistriatus
Black-winged Stilt,Himantopus himantopus
Black-necked Stilt,Himantopus mexicanus
American Avocet,Recurvirostra americana
Eurasian Oystercatcher,Haematopus ostralegus
American Oystercatcher,Haematopus palliatus
Black Oystercatcher,Haematopus bachmani
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Eurasian Dotterel,Eudromias morinellus
Killdeer,Charadrius vociferus
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Piping Plover,Charadrius melodus
Little Ringed Plover,Charadrius dubius
Northern Lapwing,Vanellus vanellus
Southern Lapwing,Vanellus chilensis
Siberian Sand-Plover,Anarhynchus mongolus
Greater Sand-Plover,Anarhynchus leschenaultii
Wilson's Plover,Anarhynchus wilsonia
Collared Plover,Anarhynchus collaris
Mountain Plover,Anarhynchu montanus
Snowy Plover,Anarhynchus nivosus
Kentish Plover,Anarhynchus alexandrinus
Northern Jacana,Jacana spinosa
Upland Sandpiper,Bartramia longicauda
Bristle-thighed Curlew,Numenius tahitiensis
Whimbrel,Numenius phaeopus
Little Curlew,Numenius minutus
"Eskimo Curlew (extinct, 1962)",Numenius borealis
Long-billed Curlew,Numenius americanus
Far Eastern Curlew,Numenius madagascariensis
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Marbled Godwit,Limosa fedoa
Ruddy Turnstone,Arenaria interpres
Black Turnstone,Arenaria melanocephala
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Surfbird,Calidris virgata
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Spoon-billed Sandpiper,Calidris pygmaea (pygmea)
Red-necked Stint,Calidris ruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Rock Sandpiper,Calidris ptilocnemis
Purple Sandpiper,Calidris maritima
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Eurasian Woodcock,Scolopax rusticola
American Woodcock,Scolopax minor
Solitary Snipe,Gallinago solitaria
Pin-tailed Snipe,Gallinago stenura
Common Snipe,Gallinago gallinago
Wilson's Snipe,Gallinago delicata
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Gray-tailed Tattler,Tringa brevipes
Wandering Tattler,Tringa incana
Lesser Yellowlegs,Tringa flavipes
Willet,Tringa semipalmata
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Greater Yellowlegs,Tringa melanoleuca
Common Redshank,Tringa totanus
Wood Sandpiper,Tringa glareola
Marsh Sandpiper,Tringa stagnatilis
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Oriental Pratincole,Glareola maldivarum
Great Skua,Stercorarius skua
South Polar Skua,Stercorarius maccormicki
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Dovekie,Alle alle
Common Murre,Uria aalge
Thick-billed Murre,Uria lomvia
Razorbill,Alca torda
"Great Auk (extinct, 1844)",Pinguinus impennis
Black Guillemot,Cepphus grylle
Pigeon Guillemot,Cepphus columba
Long-billed Murrelet,Brachyramphus perdix
Marbled Murrelet,Brachyramphus marmoratus
Kittlitz's Murrelet,Brachyramphus brevirostris
Scripps's Murrelet,Synthliboramphus scrippsi
Guadalupe Murrelet,Synthliboramphus hypoleucus
Craveri's Murrelet,Synthliboramphus craveri
Ancient Murrelet,Synthliboramphus antiquus
Cassin's Auklet,Ptychoramphus aleuticus
Parakeet Auklet,Aethia psittacula
Least Auklet,Aethia pusilla
Whiskered Auklet,Aethia pygmaea
Crested Auklet,Aethia cristatella
Rhinoceros Auklet,Cerorhinca monocerata
Atlantic Puffin,Fratercula arctica
Horned Puffin,Fratercula corniculata
Tufted Puffin,Fratercula cirrhata
Swallow-tailed Gull,Creagrus furcatus
Black-legged Kittiwake,Rissa tridactyla
Red-legged Kittiwake,Rissa brevirostris
Ivory Gull,Pagophila eburnea
Sabine's Gull,Xema sabini
Bonaparte's Gull,Chroicocephalus philadelphia
Gray-hooded Gull,Chroicocephalus cirrocephalus
Black-headed Gull,Chroicocephalus ridibundus
Little Gull,Hydrocoloeus minutus
Ross's Gull,Rhodostethia rosea
Gray Gull,Leucophaeus modestus
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Pallas's Gull,Ichthyaetus ichthyaetus
Belcher's Gull,Larus belcheri
Black-tailed Gull,Larus crassirostris
Heermann's Gull,Larus heermanni
Common Gull,Larus canus
Short-billed Gull,Larus brachyrhynchus
Ring-billed Gull,Larus delawarensis
Western Gull,Larus occidentalis
Yellow-footed Gull,Larus livens
California Gull,Larus californicus
American Herring Gull (Herring Gull),Larus smithsonianus (L. argentatus)
Vega Gull (Herring Gull),Larus vegae (L. argentatus)
Yellow-legged Gull,Larus michahellis
Iceland Gull,Larus glaucoides
Lesser Black-backed Gull,Larus fuscus
Slaty-backed Gull,Larus schistisagus
Glaucous-winged Gull,Larus glaucescens
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Kelp Gull,Larus dominicanus
Brown Noddy,Anous stolidus
Black Noddy,Anous minutus
Blue-gray Noddy,Anous ceruleus
White Tern,Gygis alba
Sooty Tern,Onychoprion fuscatus
Gray-backed Tern,Onychoprion lunatus
Bridled Tern,Onychoprion anaethetus
Aleutian Tern,Onychoprion aleuticus
Little Tern,Sternula albifrons
Least Tern,Sternula antillarum
Large-billed Tern,Phaetusa simplex
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Inca Tern,Larosterna inca
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
Royal Tern,Thalasseus maximus
Great Crested Tern,Thalasseus bergii
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Black Skimmer,Rynchops niger
White-tailed Tropicbird,Phaethon lepturus
Red-billed Tropicbird,Phaethon aethereus
Red-tailed Tropicbird,Phaethon rubricauda
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Pacific Loon,Gavia pacifica
Common Loon,Gavia immer
Yellow-billed Loon,Gavia adamsii
Atlantic Yellow-nosed (Yellow-nosed) Albatross,Thalassarche chlororhynchos
White-capped Albatross,Thalassarche cauta
Chatham Albatross,Thalassarche eremita
Salvin's Albatross,Thalassarche salvini
Black-browed Albatross,Thalassarche melanophris
Light-mantled Albatross,Phoebetria palpebrata
Wandering Albatross (sp.),Diomedea exulans (sp.)
Laysan Albatross,Phoebastria immutabilis
Black-footed Albatross,Phoebastria nigripes
Short-tailed Albatross,Phoebastria albatrus
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
Black-bellied Storm-Petrel,Fregetta tropica
European Storm-Petrel,Hydrobates pelagicus
Fork-tailed Storm-Petrel,Hydrobates furcatus
Ringed Storm-Petrel,Hydrobates hornbyi
Swinhoe's Storm-Petrel,Hydrobates monorhis
Leach's Storm-Petrel,Hydrobates leucorhous
Townsend's Storm-Petrel,Hydrobates socorroensis
Ainley's Storm-Petrel,Hydrobates cheimomnestes
Ashy Storm-Petrel,Hydrobates homochroa
Band-rumped Storm-Petrel,Hydrobates castro
Wedge-rumped Storm-Petrel,Hydrobates tethys
Black Storm-Petrel,Hydrobates melania
Tristram's Storm-Petrel,Hydrobates tristrami
Least Storm-Petrel,Hydrobates microsoma
Northern Giant-Petrel,Macronectes halli
Northern Fulmar,Fulmarus glacialis
Gray-faced Petrel,Pterodroma gouldi
Providence Petrel,Pterodroma solandri
Kermadec Petrel,Pterodroma neglecta
Trindade Petrel,Pterodroma arminjoniana
Herald Petrel,Pterodroma heraldica
Murphy's Petrel,Pterodroma ultima
Mottled Petrel,Pterodroma inexpectata
Bermuda Petrel,Pterodroma cahow
Black-capped Petrel,Pterodroma hasitata
Juan Fernandez Petrel,Pterodroma externa
Hawaiian Petrel,Pterodroma sandwichensis
White-necked Petrel,Pterodroma cervicalis
Bonin Petrel,Pterodroma hypoleuca
Black-winged Petrel,Pterodroma nigripennis
Fea's Petrel,Pterodroma feae
Zino's Petrel,Pterodroma madeira
Cook's Petrel,Pterodroma cookii
Stejneger's Petrel,Pterodroma longirostris
Tahiti Petrel,Pseudobulweria rostrata
Bulwer's Petrel,Bulweria bulwerii
Jouanin's Petrel,Bulweria fallax
White-chinned Petrel,Procellaria aequinoctialis
Parkinson's Petrel,Procellaria parkinsoni
Streaked Shearwater,Calonectris leucomelas
Scopoli's Shearwater,Calonectris diomedea
Cory's Shearwater,Calonectris borealis
Cape Verde Shearwater,Calonectris edwardsii
Wedge-tailed Shearwater,Ardenna pacifica
Buller's Shearwater,Ardenna bulleri
Short-tailed Shearwater,Ardenna tenuirostris
Sooty Shearwater,Ardenna grisea
Great Shearwater,Ardenna gravis
Pink-footed Shearwater,Ardenna creatopus
Flesh-footed Shearwater,Ardenna carneipes
Christmas Shearwater,Puffinus nativitatis
Manx Shearwater,Puffinus puffinus
Newell's Shearwater,Puffinus newelli
Bryan's Shearwater,Puffinus bryani
Black-vented Shearwater,Puffinus opisthomelas
Sargasso Shearwater,Puffinus lherminieri
Barolo Shearwater,Puffinus baroli
Jabiru,Jabiru mycteria
Wood Stork,Mycteria americana
Lesser Frigatebird,Fregata ariel
Magnificent Frigatebird,Fregata magnificens
Great Frigatebird,Fregata minor
Masked Booby,Sula dactylatra
Nazca Booby,Sula granti
Blue-footed Booby,Sula nebouxii
Brown Booby,Sula leucogaster
Cocos Booby,Sula brewsteri
Red-footed Booby,Sula sula
Northern Gannet,Morus bassanus
Anhinga,Anhinga anhinga
Brandt's Cormorant,Urile penicillatus
Red-faced Cormorant,Urile urile
Pelagic Cormorant,Urile pelagicus
Great Cormorant,Phalacrocorax carbo
Double-crested Cormorant,Nannopterum auritum
Neotropic Cormorant,Nannopterum brasilianum
American White Pelican,Pelecanus erythrorhynchos
Brown Pelican,Pelecanus occidentalis
Bare-throated Tiger-Heron,Tigrisoma mexicanum
Least Bittern,Botaurus exilis
American Bittern,Botaurus lentiginosus
Yellow Bittern,Botaurus sinensis
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Reddish Egret,Egretta rufescens
Chinese Egret,Egretta eulophotes
Snowy Egret,Egretta thula
Little Egret,Egretta garzetta
Western Reef-Heron,Egretta gularis
Black-crowned Night Heron,Nycticorax nycticorax
Yellow-crowned Night Heron,Nyctanassa violacea
Green Heron,Butorides virescens
Chinese Pond-Heron,Ardeola bacchus
Great Egret,Ardea alba
Medium Egret,Ardea intermedia
Western Cattle Egret,Bubulcus ibis
Eastern Cattle-Egret,Ardea coromanda
Gray Heron,Ardea cinerea
Great Blue Heron,Ardea herodias
White Ibis,Eudocimus albus
Scarlet Ibis,Eudocimus ruber
Glossy Ibis,Plegadis falcinellus
White-faced Ibis,Plegadis chihi
Roseate Spoonbill,Platalea ajaja
California Condor,Gymnogyps californianus
Black Vulture,Coragyps atratus
Turkey Vulture,Cathartes aura
Osprey,Pandion haliaetus
White-tailed Kite,Elanus leucurus
Hook-billed Kite,Chondrohierax uncinatus
Swallow-tailed Kite,Elanoides forficatus
Golden Eagle,Aquila chrysaetos
Double-toothed Kite,Harpagus bidentatus
Northern Harrier,Circus hudsonius
Western Marsh Harrier,Circus aeruginosus
Chinese Sparrowhawk,Tachyspiza (Accipiter) soloensis
Eurasian Sparrowhawk,Accipiter nisus
Sharp-shinned Hawk,Accipiter striatus
Cooper's Hawk,Astur (Accipiter) cooperii
American Goshawk,Astur (Accipiter) atricapillus
Black Kite,Milvus migrans
Bald Eagle,Haliaeetus leucocephalus
White-tailed Eagle,Haliaeetus albicilla
Steller's Sea-Eagle,Haliaeetus pelagicus
Mississippi Kite,Ictinia mississippiensis
Crane Hawk,Geranospiza caerulescens
Snail Kite,Rostrhamus sociabilis
Common Black Hawk,Buteogallus anthracinus
Great Black Hawk,Buteogallus urubitinga
Roadside Hawk,Rupornis magnirostris
Harris's Hawk,Parabuteo unicinctus
White-tailed Hawk,Geranoaetus albicaudatus
Gray Hawk,Buteo plagiatus
Red-shouldered Hawk,Buteo lineatus
Broad-winged Hawk,Buteo platypterus
Hawaiian Hawk,Buteo solitarius
Short-tailed Hawk,Buteo brachyurus
Swainson's Hawk,Buteo swainsoni
Zone-tailed Hawk,Buteo albonotatus
Red-tailed Hawk,Buteo jamaicensis
Rough-legged Hawk,Buteo lagopus
Ferruginous Hawk,Buteo regalis
Long-legged Buzzard,Buteo rufinus
(American) Barn Owl,Tyto furcata
Oriental Scops-Owl,Otus sunia
Flammulated Owl,Psiloscops flammeolus
Whiskered Screech-Owl,Megascops trichopsis
Western Screech-Owl,Megascops kennicottii
Eastern Screech-Owl,Megascops asio
Great Horned Owl,Bubo virginianus
Snowy Owl,Bubo scandiacus
Northern Hawk Owl,Surnia ulula
Northern Pygmy-Owl,Glaucidium gnoma
Ferruginous Pygmy-Owl,Glaucidium brasilianum
Elf Owl,Micrathene whitneyi
Burrowing Owl,Athene cunicularia
Spotted Owl,Strix occidentalis
Barred Owl,Strix varia
Mottled Owl,Strix virgata
Great Gray Owl,Strix nebulosa
Long-eared Owl,Asio otus
Stygian Owl,Asio stygius
Short-eared Owl,Asio flammeus
Boreal Owl,Aegolius funereus
Northern Saw-whet Owl,Aegolius acadicus
Northern Boobook,Ninox japonica
Elegant Trogon,Trogon elegans
Eared Quetzal,Euptilotis neoxenus
Eurasian Hoopoe,Upupa epops
Ringed Kingfisher,Megaceryle torquata
Belted Kingfisher,Megaceryle alcyon
Amazon Kingfisher,Chloroceryle amazona
Green Kingfisher,Chloroceryle americana
Eurasian Wryneck,Jynx torquilla
Lewis's Woodpecker,Melanerpes lewis
Red-headed Woodpecker,Melanerpes erythrocephalus
Acorn Woodpecker,Melanerpes formicivorus
Gila Woodpecker,Melanerpes uropygialis
Golden-fronted Woodpecker,Melanerpes aurifrons
Red-bellied Woodpecker,Melanerpes carolinus
Williamson's Sapsucker,Sphyrapicus thyroideus
Yellow-bellied Sapsucker,Sphyrapicus varius
Red-naped Sapsucker,Sphyrapicus nuchalis
Red-breasted Sapsucker,Sphyrapicus ruber
American Three-toed Woodpecker,Picoides dorsalis
Black-backed Woodpecker,Picoides arcticus
Great Spotted Woodpecker,Dendrocopos major
Downy Woodpecker,Dryobates pubescens
Nuttall's Woodpecker,Dryobates nuttallii
Ladder-backed Woodpecker,Dryobates scalaris
Red-cockaded Woodpecker,Dryobates borealis
Hairy Woodpecker,Dryobates villosus
White-headed Woodpecker,Dryobates albolarvatus
Arizona Woodpecker,Dryobates arizonae
Northern Flicker,Colaptes auratus
Gilded Flicker,Colaptes chrysoides
Pileated Woodpecker,Dryocopus pileatus
"Ivory-billed Woodpecker (extinct, 1944)",Campephilus principalis
Collared Forest-Falcon,Micrastur semitorquatus
Crested Caracara,Caracara plancus
Yellow-headed Caracara,Milvago chimachima
Eurasian Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Red-footed Falcon,Falco vespertinus
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Aplomado Falcon,Falco femoralis
Bat Falcon,Falco rufigularis
Gyrfalcon,Falco rusticolus
Peregrine Falcon,Falco peregrinus
Prairie Falcon,Falco mexicanus
Budgerigar (1975-2015),Melopsittacus undulatus
Monk Parakeet,Myiopsitta monachus
"Carolina Parakeet (extinct, 1939)",Conuropsis carolinensis
Nanday Parakeet,Aratinga nenday
Green Parakeet,Psittacara holochlorus
Mitred Parakeet,Psittacara mitratus
Red-masked Parakeet,Psittacara erythrogenys
Thick-billed Parrot,Rhynchopsitta pachyrhyncha
White-winged Parakeet,Brotogeris versicolurus
Yellow-chevroned Parakeet,Brotogeris chiriri
Red-crowned Amazon (Parrot),Amazona viridigenalis
Lilac-crowned Amazon (Parrot),Amazona finschi
Yellow-headed Amazon (Parrot) (1975-1982),Amazona oratrix
Rose-ringed Parakeet,Psittacula krameri
Rosy-faced Lovebird,Agapornis roseicollis
Masked Tityra,Tityra semifasciata
Gray-collared Becard,Pachyramphus major
Rose-throated Becard,Pachyramphus aglaiae
Northern Beardless-Tyrannulet,Camptostoma imberbe
Greenish Elaenia,Myiopagis viridicata
Small-billed Elaenia,Elaenia parvirostris
White-crested Elaenia,Elaenia albiceps
Dusky-capped Flycatcher,Myiarchus tuberculifer
Ash-throated Flycatcher,Myiarchus cinerascens
Nutting's Flycatcher,Myiarchus nuttingi
Great Crested Flycatcher,Myiarchus crinitus
Brown-crested Flycatcher,Myiarchus tyrannulus
La Sagra's Flycatcher,Myiarchus sagrae
Great Kiskadee,Pitangus sulphuratus
Social Flycatcher,Myiozetetes similis
Sulphur-bellied Flycatcher,Myiodynastes luteiventris
Piratic Flycatcher,Legatus leucophaius
Variegated Flycatcher,Empidonomus varius
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
Tropical Kingbird,Tyrannus melancholicus
Couch's Kingbird,Tyrannus couchii
Cassin's Kingbird,Tyrannus vociferans
Thick-billed Kingbird,Tyrannus crassirostris
Western Kingbird,Tyrannus verticalis
Eastern Kingbird,Tyrannus tyrannus
Gray Kingbird,Tyrannus dominicensis
Loggerhead Kingbird,Tyrannus caudifasciatus
Scissor-tailed Flycatcher,Tyrannus forficatus
Fork-tailed Flycatcher,Tyrannus savana
Tufted Flycatcher,Mitrephanes phaeocercus
Olive-sided Flycatcher,Contopus cooperi
Greater Pewee,Contopus pertinax
Western Wood-Pewee,Contopus sordidulus
Eastern Wood-Pewee,Contopus virens
Cuban Pewee,Contopus caribaeus
Yellow-bellied Flycatcher,Empidonax flaviventris
Acadian Flycatcher,Empidonax virescens
Alder Flycatcher,Empidonax alnorum
Willow Flycatcher,Empidonax traillii
Least Flycatcher,Empidonax minimus
Hammond's Flycatcher,Empidonax hammondii
Gray Flycatcher,Empidonax wrightii
Dusky Flycatcher,Empidonax oberholseri
Pine Flycatcher,Empidonax affinis
Western Flycatcher,Empidonax difficilis
Buff-breasted Flycatcher,Empidonax fulvifrons
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Vermilion Flycatcher,Pyrocephalus rubinus
Black-capped Vireo,Vireo atricapilla
White-eyed Vireo,Vireo griseus
Thick-billed Vireo,Vireo crassirostris
